trips,percpass,taxiPassCount,percTaxi,taxiCount,taxiSharedCount,taxiNonsharedCount,routingAlgorithm,capacity,finishedTrips,unfinishedTrips,unstartedTrips,avgWaitTime,avgDetourTimePerc,avgDetourDistancePerc,taxiPrivateCoeff,taxiAvgCustomers,taxiAvgOccRate,taxiAvgIdleDistanceRatio,taxiAvgIdleTimeRatio,advCO,advCO2,advHC
900,100,900,10,90,0,89,traci,1,540,360,307,819.77,-6.98,-0.57,335.1,6.0,1.0,0.41,0.43,20.41,2.84,16.17
900,100,900,10,90,90,0,traci,2,566,334,196,645.62,56.84,64.5,330.71,6.29,1.42,0.08,0.11,20.33,3.79,16.34
900,100,900,10,90,90,0,traci,3,592,308,103,497.35,116.73,127.04,326.43,6.58,2.05,0.04,0.08,20.02,4.37,16.23
900,100,900,10,90,90,0,traci,4,614,286,32,402.41,170.56,180.0,340.89,6.82,2.69,0.02,0.07,19.86,5.01,16.26
900,100,900,20,180,0,180,traci,1,900,0,0,515.84,-4.02,-0.58,209.98,5.0,1.0,0.38,0.49,-36.24,-52.51,-40.18
900,100,900,20,180,179,1,traci,2,900,0,0,302.77,83.09,88.03,208.77,5.0,1.41,0.07,0.33,-17.72,-32.15,-21.23
900,100,900,20,180,180,0,traci,3,900,0,0,198.02,131.42,133.29,213.43,5.0,1.97,0.05,0.37,-4.18,-15.24,-6.88
900,100,900,20,180,180,0,traci,4,900,0,0,140.92,150.92,149.11,209.51,5.0,2.43,0.06,0.42,10.2,1.73,8.12
900,100,900,30,270,0,270,traci,1,900,0,0,257.66,2.52,-0.05,109.82,3.33,1.0,0.36,0.56,-60.51,-57.15,-59.76
900,100,900,30,270,270,0,traci,2,900,0,0,150.15,76.42,73.95,138.86,3.33,1.38,0.08,0.44,-26.15,-30.21,-27.18
900,100,900,30,270,225,24,traci,3,900,0,0,119.4,109.67,105.92,159.17,3.33,1.64,0.15,0.53,-4.87,-10.15,-6.18
900,100,900,30,270,185,42,traci,4,900,0,0,110.45,122.37,118.03,168.39,3.33,1.68,0.24,0.6,5.56,-1.36,3.85
900,100,900,40,360,0,360,traci,1,900,0,0,206.13,13.75,0.61,99.41,2.5,1.0,0.36,0.6,-109.58,-72.1,-100.65
900,100,900,40,360,299,31,traci,2,900,0,0,121.44,76.69,65.49,126.93,2.5,1.21,0.17,0.55,-39.15,-31.49,-37.37
900,100,900,40,360,227,60,traci,3,900,0,0,108.98,100.95,96.8,146.0,2.5,1.3,0.28,0.64,-7.88,-12.88,-9.13
900,100,900,40,360,191,76,traci,4,900,0,0,102.88,106.13,101.29,148.86,2.5,1.31,0.34,0.69,2.16,-4.01,0.63
900,100,900,50,450,0,450,traci,1,900,0,0,161.05,18.26,0.08,84.51,2.0,1.0,0.33,0.66,-125.55,-73.42,-113.11
900,100,900,50,450,286,74,traci,2,900,0,0,117.67,59.63,55.22,108.76,2.0,1.02,0.29,0.66,-27.86,-27.1,-27.74
900,100,900,50,450,230,90,traci,3,900,0,0,107.65,87.61,82.98,132.62,2.0,1.09,0.36,0.71,-11.01,-13.53,-11.67
900,100,900,50,450,190,108,traci,4,900,0,0,97.64,98.26,92.69,138.71,2.0,1.08,0.41,0.74,-0.52,-5.77,-1.84
900,100,900,70,630,0,524,traci,1,900,0,0,140.2,12.26,0.31,70.05,1.43,0.83,0.39,0.76,-96.55,-61.65,-88.25
900,100,900,70,630,267,138,traci,2,900,0,0,110.53,57.07,50.11,103.07,1.43,0.79,0.43,0.76,-36.8,-29.98,-35.22
900,100,900,70,630,218,143,traci,3,900,0,0,98.55,81.58,74.31,122.5,1.43,0.81,0.49,0.78,-16.08,-16.26,-16.18
900,100,900,70,630,190,152,traci,4,900,0,0,95.38,89.37,83.98,129.09,1.43,0.82,0.52,0.81,-4.2,-8.56,-5.3
