#{"t_start": 1702421561.7441263, "env_id": "sumo-rl-rs-v0"}
r,l,t
20533.63,3000,12.797775
19722.09,3000,25.654883
20574.81,3000,38.422212
20412.21,3000,51.016904
18927.64,3000,63.423558
20519.41,3000,76.203498
18932.17,3000,88.773806
19564.52,3000,101.457463
19789.31,3000,114.138546
19282.71,3000,126.771274
19578.41,3000,139.627964
20242.27,3000,152.3529
20490.97,3000,165.065079
19549.2,3000,177.524463
19584.45,3000,190.366129
19659.01,3000,203.214815
19509.51,3000,215.940801
20149.68,3000,228.809832
21057.05,3000,241.974962
20104.46,3000,254.686474
19518.46,3000,267.711115
19948.53,3000,280.45014
19797.44,3000,293.239529
20138.61,3000,306.0486
19838.16,3000,318.88518
19382.76,3000,331.341805
19191.63,3000,343.927662
20464.67,3000,356.594738
20002.7,3000,369.410085
20323.25,3000,382.128733
19778.55,3000,394.734138
20492.73,3000,407.601863
18289.83,3000,420.356404
20260.63,3000,433.040193
20469.25,3000,445.894232
19821.0,3000,458.561839
19961.48,3000,471.296715
20862.54,3000,484.102078
19856.19,3000,496.71652
20071.52,3000,509.513752
19549.15,3000,523.015436
19861.28,3000,535.990105
20361.42,3000,548.676652
19379.45,3000,561.515402
20514.27,3000,574.10159
20604.27,3000,586.783736
19254.54,3000,599.882527
19328.11,3000,612.591
20608.46,3000,625.397209
19846.7,3000,638.160718
20389.16,3000,651.118736
19340.33,3000,663.915862
20457.12,3000,676.681535
20114.01,3000,689.495713
20766.46,3000,702.353801
19866.47,3000,715.237945
19990.63,3000,727.9621
19970.09,3000,740.919075
19721.53,3000,753.711942
19688.85,3000,766.179389
19586.82,3000,779.012186
20532.33,3000,791.800431
20192.54,3000,804.696605
20317.48,3000,817.48458
20095.66,3000,830.416675
19647.42,3000,843.19109
19575.0,3000,855.891579
19519.97,3000,868.537207
19675.46,3000,881.319351
20352.93,3000,893.99658
20184.63,3000,906.780905
20714.21,3000,919.63113
19818.49,3000,932.458704
20961.93,3000,945.386599
19779.41,3000,958.171663
21101.45,3000,970.935802
19641.17,3000,983.935521
19289.15,3000,996.721602
19923.43,3000,1009.443829
20015.63,3000,1022.037368
19465.89,3000,1034.927029
22087.4,3000,1047.880888
19111.5,3000,1060.477051
20133.54,3000,1073.338095
19855.29,3000,1085.994219
19808.95,3000,1099.024266
20480.0,3000,1111.811079
20001.38,3000,1124.655399
18878.68,3000,1137.386086
20482.97,3000,1150.257951
20640.48,3000,1163.125983
19262.97,3000,1175.79056
20202.61,3000,1188.824767
20527.79,3000,1201.731081
20068.3,3000,1214.520152
18987.66,3000,1227.457083
19206.44,3000,1240.05068
20157.63,3000,1252.858089
19986.22,3000,1265.76579
19700.75,3000,1278.664953
19758.71,3000,1291.674793
21501.04,3000,1304.380842
20975.84,3000,1317.193373
20410.94,3000,1329.993611
20645.05,3000,1342.71259
19692.02,3000,1355.511466
18845.33,3000,1368.171364
19104.55,3000,1381.059927
19751.14,3000,1393.755194
19793.44,3000,1406.564427
20514.81,3000,1419.299199
20989.64,3000,1432.115299
20949.53,3000,1445.343812
20093.18,3000,1458.240218
20306.22,3000,1471.08124
19852.27,3000,1483.810103
19758.71,3000,1496.516964
20334.66,3000,1509.363286
19772.93,3000,1522.182661
19314.3,3000,1534.977213
19954.68,3000,1547.802938
20139.57,3000,1560.660819
21550.44,3000,1573.433134
19794.85,3000,1586.519952
19880.28,3000,1599.3495
21044.92,3000,1612.167543
20226.36,3000,1624.914296
18855.02,3000,1637.745108
20164.28,3000,1650.645295
19832.1,3000,1663.43747
20316.99,3000,1676.22591
20217.36,3000,1689.172726
21614.85,3000,1702.067495
20302.75,3000,1714.889445
19375.35,3000,1727.584529
21211.62,3000,1740.429863
19922.86,3000,1753.285373
20063.5,3000,1766.215922
19082.72,3000,1779.570694
20545.66,3000,1793.007726
20161.55,3000,1806.035399
18726.13,3000,1818.979251
19303.15,3000,1831.89015
19268.65,3000,1844.74609
18856.68,3000,1858.01402
19925.7,3000,1870.814646
19693.45,3000,1883.688764
20404.43,3000,1896.614344
20660.99,3000,1909.427634
20754.39,3000,1922.492798
19432.89,3000,1935.453442
20882.63,3000,1948.544
19549.96,3000,1961.42947
19198.08,3000,1974.286053
18747.58,3000,1986.975991
18921.87,3000,1999.820052
19650.7,3000,2012.721552
20384.13,3000,2025.713723
19622.66,3000,2038.641854
19964.7,3000,2051.392563
20559.34,3000,2064.456594
20448.8,3000,2077.368268
19839.09,3000,2090.223114
21084.12,3000,2103.898587
20051.43,3000,2116.963505
20395.57,3000,2130.030338
20001.67,3000,2143.72367
20832.54,3000,2156.760693
19979.37,3000,2169.557822
18915.21,3000,2182.407818
19325.18,3000,2195.646923
20232.64,3000,2208.453937
20867.75,3000,2221.255236
21120.22,3000,2233.982281
19945.67,3000,2247.002675
19851.59,3000,2259.910184
20420.02,3000,2272.657388
19857.27,3000,2285.687563
21051.15,3000,2298.411438
20217.71,3000,2311.227038
20921.35,3000,2324.538241
19245.52,3000,2337.290297
20839.82,3000,2350.275146
19645.22,3000,2363.402229
20424.48,3000,2376.152127
20326.7,3000,2388.931569
19224.33,3000,2401.600815
20894.32,3000,2414.497723
20017.55,3000,2427.396476
20323.97,3000,2440.169131
20248.9,3000,2453.09489
20981.09,3000,2465.824509
20885.28,3000,2478.70114
20589.83,3000,2491.667598
20755.89,3000,2504.485561
19408.95,3000,2517.381015
20958.38,3000,2530.2082
20608.48,3000,2543.067839
18715.04,3000,2555.867761
19951.89,3000,2568.52385
19100.58,3000,2581.467117
20094.96,3000,2594.241998
20936.64,3000,2607.16982
20642.48,3000,2620.095035
20441.06,3000,2632.93093
21461.42,3000,2645.909483
20651.63,3000,2658.81254
19435.2,3000,2671.605908
21195.16,3000,2684.429352
